trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,stim_grayScreen.stopped,stim_grating.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
99,0,99,0,514.3626935000066,,,,,,,,,514.3468591000419,514.3626935000066,517.362967699999,519.3462776000379,519.362728200038,519.362728200038,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
100,0,100,0,519.362728200038,,,,,,,,,519.3465398000553,519.362728200038,522.3631907000672,524.3462663000682,524.3626914999913,524.3626914999913,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
101,0,101,0,524.3626914999913,,,,,,,,,524.3465308001032,524.3626914999913,527.3628121000947,529.3462703000987,529.36264940002,529.36264940002,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
102,0,102,0,529.36264940002,,,,,,,,,529.3465270000743,529.36264940002,532.3627923000604,534.346222500084,534.3626392000588,534.3626392000588,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
103,0,103,0,534.3626392000588,,,,,,,,,534.3465190000134,534.3626392000588,537.3628131001024,539.3465882000746,539.3628613000037,539.3628613000037,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
104,0,104,0,539.3628613000037,,,,,,,,,539.3468395000091,539.3628613000037,542.3629187000915,544.3461245000362,544.3625403000042,544.3625403000042,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
105,0,105,0,544.3625403000042,,,,,,,,,544.3463827000232,544.3625403000042,547.3627262000227,549.3461378000211,549.3635957000079,549.3635957000079,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
106,0,106,0,549.3635957000079,,,,,,,,,549.3463772000978,549.3635957000079,552.3627138000447,554.3464152000379,554.362614300102,554.362614300102,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
107,0,107,0,554.362614300102,,,,,,,,,554.3466599000385,554.362614300102,557.3628643000266,559.3464306000387,559.362484500045,559.362484500045,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
108,0,108,0,559.362484500045,,,,,,,,,559.3466829000972,559.362484500045,562.3626661000308,564.3460272999946,564.3624516000273,564.3624516000273,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
109,0,109,0,564.3624516000273,,,,,,,,,564.3462700000964,564.3624516000273,567.3626756001031,569.345972900046,569.3624355000211,569.3624355000211,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
110,0,110,0,569.3624355000211,,,,,,,,,569.3462581000058,569.3624355000211,572.3626070000464,574.3459716000361,574.3624434000812,574.3624434000812,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
111,0,111,0,574.3624434000812,,,,,,,,,574.3462266999995,574.3624434000812,577.3625810000813,579.3463524000254,579.3624007999897,579.3624007999897,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
112,0,112,0,579.3624007999897,,,,,,,,,579.346620400087,579.3624007999897,582.3625137000345,584.3460466000251,584.3624310001032,584.3624310001032,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
113,0,113,0,584.3624310001032,,,,,,,,,584.3462952000555,584.3624310001032,587.3625269000186,589.3459020000882,589.3623833000893,589.3623833000893,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
114,0,114,0,589.3623833000893,,,,,,,,,589.3461529000197,589.3623833000893,592.3628232000628,594.3459671000019,594.3624211000279,594.3624211000279,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
115,0,115,0,594.3624211000279,,,,,,,,,594.3462223000824,594.3624211000279,597.3624643000076,599.3459249000298,599.3623154000379,599.3623154000379,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
116,0,116,0,599.3623154000379,,,,,,,,,599.3461667000083,599.3623154000379,602.3624295000918,604.3457799000898,604.3622151000891,604.3622151000891,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
117,0,117,0,604.3622151000891,,,,,,,,,604.3460308000213,604.3622151000891,607.3623397999909,609.3457860000199,609.3621860001003,609.3621860001003,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
118,0,118,0,609.3621860001003,,,,,,,,,609.3460391000845,609.3621860001003,612.3623273000121,614.3461618000874,614.3621664000675,614.3621664000675,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
119,0,119,0,614.3621664000675,,,,,,,,,614.3464171000523,614.3621664000675,617.3623437000206,619.3461635001004,619.3884029000765,619.3884029000765,baseline,SB03,01,False,2024-08-05_12h28.28.344,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 12h28.41.150159 -0400,
