trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.006490300060249865,0.012403100030496716,0.012403100030496716,3.1310980999842286,space,3.1073041999479756,None,,,,,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
0,0,0,0,3.260003100032918,,,,,,,,,3.1697265000548214,3.260003100032918,6.178853700053878,8.17901590000838,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
1,0,1,0,8.195616599987261,,,,,,,,,8.17929980007466,8.195616599987261,11.1797134000808,13.179176100064069,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
2,0,2,0,13.195895300013945,,,,,,,,,13.179489100002684,13.195895300013945,16.179359700065106,18.179530799970962,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
3,0,3,0,18.19612540001981,,,,,,,,,18.179820600082166,18.19612540001981,21.179687299998477,23.17916070006322,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
4,0,4,0,23.195925600011833,,,,,,,,,23.17942810000386,23.195925600011833,26.179286899976432,28.179180799983442,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
5,0,5,0,28.195838500047103,,,,,,,,,28.179436600068584,28.195838500047103,31.17928570008371,33.1790887999814,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
6,0,6,0,33.195751600083895,,,,,,,,,33.1793566000415,33.195751600083895,36.17935099999886,38.1790971000446,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
7,0,7,0,38.195767499972135,,,,,,,,,38.179372500046156,38.195767499972135,41.1791182999732,43.17907589999959,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
8,0,8,0,43.195731200044975,,,,,,,,,43.17932820005808,43.195731200044975,46.179147400078364,48.179041799972765,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
9,0,9,0,48.195697400020435,,,,,,,,,48.179298900067806,48.195697400020435,51.179160200059414,53.17910070007201,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
10,0,10,0,53.19595010008197,,,,,,,,,53.17960170004517,53.19595010008197,56.17951649997849,58.179076300002635,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
11,0,11,0,58.195620300015435,,,,,,,,,58.17936120007653,58.195620300015435,61.17920380004216,63.17900800006464,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
12,0,12,0,63.19580940005835,,,,,,,,,63.17929920007009,63.19580940005835,66.17907110007945,68.1789737000363,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
13,0,13,0,68.19567799998913,,,,,,,,,68.17925270006526,68.19567799998913,71.17907010007184,73.17889149999246,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
14,0,14,0,73.19553460006136,,,,,,,,,73.17914370005019,73.19553460006136,76.17901940003503,78.17891530005727,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
15,0,15,0,78.1956825000234,,,,,,,,,78.17917120002676,78.1956825000234,81.17906600004062,83.17901920003351,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
16,0,16,0,83.195570699987,,,,,,,,,83.17932350002229,83.195570699987,86.17896990000736,88.17881509999279,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
17,0,17,0,88.1954372000182,,,,,,,,,88.17907110007945,88.1954372000182,91.17893060005736,93.17886640003417,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
18,0,18,0,93.19546309998259,,,,,,,,,93.17912200000137,93.19546309998259,96.1789750000462,98.17875119997188,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
19,0,19,0,98.1956279000733,,,,,,,,,98.17900720005855,98.1956279000733,101.17901079996955,103.17876709997654,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
20,0,20,0,103.19536180002615,,,,,,,,,103.17904469999485,103.19536180002615,106.17897320003249,108.17874870006926,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
21,0,21,0,108.19535010005347,,,,,,,,,108.17899220006075,108.19535010005347,111.17927000008058,113.17871500004549,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
22,0,22,0,113.19531710003503,,,,,,,,,113.17897900007665,113.19531710003503,116.17899300006684,118.17873679997865,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
23,0,23,0,118.19529649999458,,,,,,,,,118.17899420007598,118.19529649999458,121.17885839997325,123.17868460004684,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
24,0,24,0,123.19536850007717,,,,,,,,,123.17894240003079,123.19536850007717,126.17874740005936,128.17863520001993,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
25,0,25,0,128.19524929998443,,,,,,,,,128.17887980001979,128.19524929998443,131.17874200001825,133.17864030005876,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
26,0,26,0,133.19524390005972,,,,,,,,,133.17889900004957,133.19524390005972,136.1787804000778,138.17863790004048,high,GS13,01,False,2024-08-08_18h33.31.007,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-08 18h33.43.336796 -0400,
