trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,Wait for Trigger,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.007901400094851851,0.016362400026991963,0.016362400026991963,6.485629400005564,space,6.459552300046198,None,,,,,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
0,0,0,0,6.622679500025697,,,,,,,,,6.543997600092553,6.622679500025697,9.549591200076975,11.549837600090541,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
1,0,1,0,11.566426900099032,,,,,,,,,11.550150800030679,11.566426900099032,14.549972900073044,16.549913000082597,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
2,0,2,0,16.566599900019355,,,,,,,,,16.550182400038466,16.566599900019355,19.550022700103,21.549911600071937,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
3,0,3,0,21.566578600089997,,,,,,,,,21.550190600100905,21.566578600089997,24.55006240005605,26.55011050007306,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
4,0,4,0,26.566564800101332,,,,,,,,,26.550372900092043,26.566564800101332,29.55002930003684,31.549939100048505,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
5,0,5,0,31.56666930008214,,,,,,,,,31.550209500011988,31.56666930008214,34.54989820008632,36.54983810009435,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
6,0,6,0,36.56653529999312,,,,,,,,,36.55009220005013,36.56653529999312,39.55000290006865,41.549839699990116,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
7,0,7,0,41.56646310002543,,,,,,,,,41.55012400005944,41.56646310002543,44.55035420006607,46.54979399999138,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
8,0,8,0,46.5664298000047,,,,,,,,,46.550053899991326,46.5664298000047,49.549963299999945,51.5497712000506,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
9,0,9,0,51.56638880004175,,,,,,,,,51.55003020004369,51.56638880004175,54.54994860000443,56.54974150005728,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
10,0,10,0,56.566366699989885,,,,,,,,,56.55002379999496,56.566366699989885,59.54992320004385,61.54979880002793,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
11,0,11,0,61.566339700017124,,,,,,,,,61.550073500024155,61.566339700017124,64.5500250000041,66.54972040001303,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
12,0,12,0,66.56635330000427,,,,,,,,,66.54999259999022,66.56635330000427,69.54973249998875,71.54961590003222,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
13,0,13,0,71.56629430002067,,,,,,,,,71.54990270000417,71.56629430002067,74.54964590002783,76.5497342000017,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
14,0,14,0,76.5664756000042,,,,,,,,,76.55001330003142,76.5664756000042,79.54974799999036,81.54962180007715,baseline,GS13,01,False,2024-08-05_16h09.49.945,Gratings_vis_devJG_v0.6,2024.1.5,None,2024-08-05 16h10.00.611345 -0400,
