n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
Protocol ID,devSB
Subject ID,01
Session ID,02
date,2024-07-25_17h00.05.558
expName,Gratings_vis_devJG_v0.6
psychopyVersion,2024.1.5
frameRate,None
expStart,2024-07-25 17h00.13.945275 -0400
