24.3349 	INFO 	Loaded monitor calibration from ['2024_06_27 19:13']
24.3483 	WARNING 	Requested an unavailable screen number - using first available.
24.6761 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026FE31EE280>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026FE31EE220>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026FE31EE070>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026FE52E3CA0>, multiSample=False, name='window1', numSamples=2, pos=[1520.0, 780.0], screen=1, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
24.6761 	EXP 	window1: backgroundImage = ''
24.6761 	EXP 	window1: backgroundFit = 'none'
24.6763 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026FE31EE3A0>
24.6766 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026FE31EE3A0>
24.6820 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026FE31EE3A0>
24.6823 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000026FE31EE3A0>
24.6853 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.6861 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.6868 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.6876 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.6884 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.6890 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.6897 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.6904 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.6909 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.6914 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
24.6920 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
