3.2509 	INFO 	Loaded monitor calibration from ['2024_06_27 19:13']
3.2524 	WARNING 	Requested an unavailable screen number - using first available.
3.3419 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000029DC5F8F160>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000029DC5F8F100>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000029DC5F8BF10>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000029DC9053B80>, multiSample=False, name='window1', numSamples=2, pos=[1520.0, 780.0], screen=1, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.3420 	EXP 	window1: backgroundImage = ''
3.3420 	EXP 	window1: backgroundFit = 'none'
3.3421 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000029DC5F8F280>
3.3422 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000029DC5F8F280>
3.3432 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000029DC5F8F280>
3.3435 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000029DC5F8F280>
3.3462 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3469 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3476 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3483 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3491 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3496 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3503 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3511 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3516 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3520 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
